id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
001,en,The Adventures of Pinocchio,The Adventures of Pinocchio,original,---,---,Carlo Collodi,Carol Della Chiesa,novel,1883,1925,The Macmillan Company,yes,---,40.48
002,en,The Adventures of Pinocchio,Pinocchio,adapted,children,---,Carlo Collodi,---,---,1883,2022,Think Digital Academy,yes,no,2.32
003,en,The Adventures of Pinocchio,Pinocchio,adapted,children,---,Carlo Collodi,Bharathi Dhanasekar,---,1883,2020,Short Stories for Kids,yes,no,0.67
004,en,The Adventures of Pinocchio,The Adventures of Pinocchio,adapted,FL,A1,Carlo Collodi,Joanne Swan,---,1883,2004,New Editions English Language Teaching,yes,no,1.14
005,en,The Adventures of Pinocchio,Pinocchio,adapted,FL,A1,Carlo Collodi,Gill Munton,---,1883,2010,Macmillan: English Explorers,yes,no,6.46
006,en,The Adventures of Pinocchio,Pinocchio,adapted,FL,A1,Carlo Collodi,Sue Arengo,---,1883,2009,Oxford UP: Family and Friends,yes,no,2.75
007,en,The Adventures of Pinocchio,The Adventures of Pinocchio,adapted,LD,---,Carlo Collodi,Gemma Barder,---,1883,2024,Every Cherry Publishing,yes,no,3.54
008,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,original,---,---,Mark Twain,---,novel,1876,---,American Publishing Company,no,---,73.02
009,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,adapted,FL,---,Mark Twain,---,---,1876,2006,Global Publishing Solutions,no,no,27.68
010,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,adapted,FL,A1,Mark Twain,Jacqueline Kehl,---,1876,2000,Pearson: Penguin Readers,no,no,4.28
011,en,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,adapted,FL,A1,Mark Twain,Paul Fisher Johnson,---,1876,1998,Oxford UP: Oxford Bookworms,no,no,6.31
